FID	IID	V1	V2
1	1	1.468372945	1.93779743
2	2	-1.22343908	-1.634086192
3	3	0.071153193	0.086390629
4	4	-1.921758595	-1.083212382
5	5	-0.037328934	-1.028343549
6	6	1.12924507	1.164262222
7	7	0.124570791	-0.561055497
8	8	2.311886851	-2.083408992
9	9	0.83211909	0.743684103
10	10	1.190366739	-0.918912693
11	11	1.017668246	-0.583733243
12	12	-0.1912181	0.124413606
13	13	-0.418092416	-1.220687104
14	14	-1.54261454	-1.148229858
15	15	-1.497580374	0.353191968
16	16	0.700744945	-1.622190128
17	17	-1.257804142	-0.436076358
18	18	-1.823905419	0.19821892
19	19	1.132515808	-0.2657753
20	20	0.492114198	-0.001317884
21	21	0.020249216	0.207516654
22	22	-0.127426361	0.111646075
23	23	-0.351735265	-1.889775628
24	24	0.556201646	-0.927216741
25	25	-0.288227411	-0.773639776
26	26	0.179204262	1.982120821
27	27	-2.995100446	1.015916142
28	28	0.687164857	0.022038635
29	29	-0.458120017	-1.660465379
30	30	0.298664964	-0.874055549
31	31	-0.704867333	1.326576245
32	32	0.268933323	0.634297195
33	33	-0.05760127	0.993834462
34	34	-0.252690865	1.237475307
35	35	0.816772062	1.533813583
36	36	0.081307512	-0.087716759
37	37	-1.139110716	1.295648337
38	38	-2.300715628	0.300738731
39	39	-0.665550531	1.601514615
40	40	0.535504326	-1.177725156
41	41	-0.10719987	1.666963467
42	42	1.731689071	0.512908202
43	43	1.11493937	1.196690566
44	44	-0.346445574	0.367702235
45	45	-0.739824908	-1.309056469
46	46	1.413174734	-0.603924429
47	47	1.852385195	-0.706549113
48	48	-0.704988799	0.114948625
49	49	-0.717470008	-1.445122317
50	50	-1.283794571	-0.382175769
51	51	-0.980701227	-0.344572505
52	52	-1.806084509	-1.019704695
53	53	0.519469347	-0.844754918
54	54	-1.038872883	0.120699006
55	55	0.19044942	-0.01200255
56	56	1.367523956	1.842079668
57	57	0.420300599	-0.932193593
58	58	-0.238882262	-0.016531052
59	59	0.358719741	-1.335020488
60	60	0.504605771	0.681252343
61	61	-0.934190606	-1.267820656
62	62	-1.224552627	0.150901064
63	63	1.307308589	-0.110656486
64	64	1.399857687	1.026009752
65	65	0.095020228	-1.100066087
